epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,707.418,1.19166,2.64949,0.88846,0.73836,1.12746,0.8379,0.85492,0.86373,0.45512,0.83337,0.67876,0.68558,0.36639,1.6014,3.61418,0.76666,1.24391,1.33484,0.0097459,0.0097459,0.0097459
79,715.905,1.2456,2.41636,0.89578,0.78241,1.14529,0.86881,0.8601,0.89098,0.47445,0.87227,0.77202,0.8095,0.42813,1.56487,3.07428,0.75165,0.93775,1.29328,0.0097426,0.0097426,0.0097426
80,725.154,1.23236,2.61607,0.8951,0.79124,1.14497,0.85858,0.84934,0.84228,0.39171,0.89709,0.81865,0.83724,0.4521,1.84873,2.8847,0.74324,0.98932,1.35707,0.0097393,0.0097393,0.0097393
81,734.48,1.18537,2.43979,0.88019,0.71494,1.1144,0.90536,0.84267,0.87742,0.44278,0.87848,0.79793,0.81434,0.46963,1.72,2.69577,0.73666,0.98778,1.30541,0.009736,0.009736,0.009736
82,744.744,1.23669,2.31261,0.89495,0.75505,1.12571,0.86233,0.83938,0.86736,0.45748,0.85378,0.78756,0.81092,0.45741,1.67162,2.81406,0.74757,0.97235,1.29229,0.0097327,0.0097327,0.0097327
83,753.631,1.2274,2.56538,0.88858,0.75456,1.1221,0.91973,0.80829,0.88562,0.47647,0.89025,0.78238,0.81881,0.4707,1.65734,2.76779,0.74734,0.9404,1.30151,0.0097294,0.0097294,0.0097294
84,762.439,1.20748,2.45007,0.89021,0.7565,1.11783,0.90276,0.86528,0.89691,0.49845,0.89579,0.80172,0.81556,0.45184,1.56648,2.76214,0.74158,0.99826,1.29955,0.0097261,0.0097261,0.0097261
85,771.555,1.21166,2.47794,0.86827,0.75856,1.1224,0.91695,0.8342,0.87442,0.44934,0.89476,0.80311,0.79624,0.50819,1.62987,2.64108,0.73561,1.4584,1.29155,0.0097228,0.0097228,0.0097228
86,780.82,1.20764,2.24715,0.87937,0.7589,1.11177,0.90863,0.84974,0.88583,0.46788,0.92547,0.79793,0.8233,0.46833,1.63247,2.64993,0.73423,0.92202,1.25987,0.0097195,0.0097195,0.0097195
87,790.118,1.19762,2.26978,0.87812,0.73457,1.10743,0.90108,0.82902,0.87008,0.48152,0.918,0.79275,0.82922,0.46371,1.59738,2.67717,0.74008,0.9112,1.26884,0.0097162,0.0097162,0.0097162
88,799.362,1.2045,2.2709,0.91825,0.72949,1.11062,0.88566,0.84456,0.86511,0.45044,0.86474,0.76166,0.78291,0.45608,1.68731,2.72608,0.74744,0.90264,1.31289,0.0097129,0.0097129,0.0097129
89,808.656,1.22211,2.19318,0.89336,0.74871,1.12007,0.84364,0.81865,0.84582,0.37248,0.86586,0.76927,0.762,0.45818,1.96574,2.83975,0.75221,1.03023,1.39929,0.0097096,0.0097096,0.0097096
90,817.905,1.2026,2.0814,0.90496,0.74632,1.10014,0.8713,0.78238,0.84298,0.39352,0.92084,0.79275,0.85513,0.52608,1.88979,2.52375,0.73666,1.02314,1.38415,0.0097063,0.0097063,0.0097063
91,827.19,1.21376,2.10238,0.9306,0.74266,1.12794,0.88696,0.82902,0.84064,0.40647,0.82725,0.76166,0.73289,0.47205,1.74761,2.75455,0.75696,0.97356,1.3511,0.009703,0.009703,0.009703
92,835.502,1.15799,2.2153,0.8983,0.71594,1.09717,0.85467,0.81865,0.82354,0.39084,0.83908,0.80311,0.79987,0.46442,1.77755,2.62299,0.7752,1.18074,1.34425,0.0096997,0.0096997,0.0096997
93,844.733,1.15081,1.89907,0.90453,0.70879,1.08465,0.8658,0.83571,0.8242,0.39448,0.86585,0.80311,0.78862,0.5078,1.7541,2.57961,0.78671,1.14752,1.38637,0.0096964,0.0096964,0.0096964
94,853.985,1.19212,1.98146,0.89138,0.74514,1.13284,0.89479,0.79275,0.85236,0.44804,0.87464,0.79532,0.82343,0.50528,1.67156,2.45358,0.78645,0.99392,1.36762,0.0096931,0.0096931,0.0096931
95,863.217,1.18257,1.91089,0.93836,0.72627,1.13806,0.88885,0.80311,0.85733,0.44763,0.88134,0.80815,0.81605,0.50066,1.68245,2.54865,0.77194,0.94194,1.38573,0.0096898,0.0096898,0.0096898
96,872.463,1.1341,1.6705,0.86267,0.68122,1.09164,0.88912,0.83094,0.86312,0.37323,0.84894,0.7772,0.77376,0.5023,1.90008,2.62456,0.76327,0.99819,1.44208,0.0096865,0.0096865,0.0096865
97,880.929,1.19784,1.88012,0.88886,0.73592,1.12869,0.86831,0.78575,0.81768,0.37803,0.88162,0.80311,0.81122,0.49331,1.83629,2.73154,0.74816,0.95189,1.41057,0.0096832,0.0096832,0.0096832
98,889.843,1.17665,1.94407,0.88827,0.73527,1.12116,0.86754,0.79275,0.84043,0.42233,0.91424,0.78756,0.8266,0.50577,1.70078,2.72621,0.74943,0.94842,1.37424,0.0096799,0.0096799,0.0096799
99,898.783,1.1143,1.66519,0.88099,0.67267,1.07958,0.9095,0.8342,0.88355,0.47814,0.89832,0.82394,0.84686,0.56598,1.63512,2.58633,0.74869,0.8752,1.33491,0.0096766,0.0096766,0.0096766
100,908.808,1.16847,1.66342,0.85635,0.6888,1.09664,0.87718,0.76684,0.84224,0.37731,0.85244,0.77823,0.79513,0.5549,2.0787,2.85853,0.74586,0.98692,1.47357,0.0096733,0.0096733,0.0096733
101,918.164,1.14975,1.65255,0.86462,0.68914,1.09442,0.84736,0.79793,0.84054,0.41587,0.88004,0.76023,0.77314,0.55799,1.88732,2.67433,0.74454,1.0297,1.41677,0.00967,0.00967,0.00967
102,927.439,1.15797,1.64711,0.86578,0.69241,1.10108,0.86981,0.7772,0.83691,0.40577,0.90642,0.80297,0.83596,0.56386,1.82616,2.43119,0.74411,1.00088,1.3985,0.0096667,0.0096667,0.0096667
103,936.818,1.12858,1.51526,0.84658,0.66164,1.07514,0.86895,0.79017,0.84381,0.43051,0.86312,0.7772,0.80808,0.5454,1.76435,2.47721,0.74512,0.95559,1.39134,0.0096634,0.0096634,0.0096634
104,946.135,1.13944,1.55687,0.85075,0.704,1.09771,0.88956,0.80311,0.86159,0.44821,0.85626,0.77202,0.787,0.50517,1.74374,2.55816,0.74763,0.9738,1.39553,0.0096601,0.0096601,0.0096601
105,955.54,1.17497,1.66445,0.83287,0.71691,1.10045,0.88405,0.7901,0.84984,0.40541,0.88383,0.7884,0.814,0.52273,1.83214,2.42037,0.7392,0.94004,1.40412,0.0096568,0.0096568,0.0096568
106,965.021,1.14749,1.592,0.87609,0.68572,1.11284,0.84796,0.81865,0.84126,0.42884,0.88294,0.80829,0.81863,0.53601,1.73221,2.43455,0.73429,0.93966,1.37559,0.0096535,0.0096535,0.0096535
107,974.424,1.18364,1.64492,0.84974,0.71396,1.11786,0.84638,0.81347,0.85249,0.43105,0.84665,0.77202,0.78657,0.51192,1.60157,2.62176,0.72621,0.941,1.30746,0.0096502,0.0096502,0.0096502
108,983.858,1.12368,1.64933,0.83122,0.68196,1.09213,0.86529,0.79878,0.8488,0.44036,0.8645,0.7772,0.77931,0.52601,1.66809,2.58163,0.73088,0.95418,1.33672,0.0096469,0.0096469,0.0096469
109,993.277,1.15227,1.45769,0.83443,0.70609,1.09435,0.83976,0.84178,0.85283,0.44332,0.83784,0.75648,0.77613,0.50668,1.69721,2.6239,0.72837,0.96167,1.32195,0.0096436,0.0096436,0.0096436
110,1002.74,1.13339,1.53656,0.86199,0.69836,1.08242,0.84261,0.85988,0.86124,0.47895,0.88509,0.7772,0.80401,0.54283,1.55878,2.49187,0.72581,1.00399,1.30106,0.0096403,0.0096403,0.0096403
111,1012.23,1.12676,1.48435,0.8685,0.69538,1.10514,0.89777,0.80829,0.86058,0.41718,0.89527,0.79729,0.81828,0.54209,1.80428,2.38982,0.72335,0.89967,1.37854,0.009637,0.009637,0.009637
112,1020.77,1.1225,1.5112,0.84126,0.6793,1.08971,0.89177,0.85492,0.88721,0.48262,0.86814,0.8342,0.84773,0.57256,1.64494,2.37718,0.72581,0.84169,1.34536,0.0096337,0.0096337,0.0096337
113,1029.6,1.09908,1.41335,0.8402,0.64557,1.07574,0.88322,0.77202,0.8553,0.44868,0.90226,0.81308,0.85189,0.56468,1.59229,2.26142,0.72304,0.87859,1.32678,0.0096304,0.0096304,0.0096304
114,1038.26,1.14104,1.61585,0.81891,0.68728,1.09255,0.88791,0.81347,0.86545,0.43279,0.89122,0.80657,0.83506,0.56647,1.73145,2.32136,0.71812,0.89257,1.34395,0.0096271,0.0096271,0.0096271
115,1047.69,1.11255,1.46123,0.81028,0.66244,1.07749,0.88691,0.81268,0.88134,0.46605,0.88489,0.82383,0.83989,0.5481,1.634,2.42098,0.71374,0.88093,1.33137,0.0096238,0.0096238,0.0096238
